local,data,hora,lat,long,umidade,t_ex,t1,t2,t3,t4,t5,t6,t7,t8,data_hora,temp,anormal,temp_faixa
1,04/10/2023,02:43:42,-18.918203,-48.230377,68.984848,25.439955,25.424992,25.407564,25.382492,25.388325,25.368324,25.371658,25.390825,25.424158,2023-04-10 02:43:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,02:53:42,-18.918184,-48.230469,68.994949,25.372408,25.304993,25.364086,25.364992,25.364992,25.364992,25.364992,25.364992,25.337492,2023-04-10 02:53:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,03:03:42,-18.918159,-48.23045,69.126259,25.344461,25.356659,25.30068,25.314991,25.361658,25.360825,25.308325,25.304159,25.354158,2023-04-10 03:03:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,03:13:42,-18.918148,-48.2304,69.313133,25.338362,25.239992,25.301586,25.302492,25.301659,25.295826,25.280825,25.253325,25.244991,2023-04-10 03:13:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,03:23:42,-18.91814,-48.23048,69.994949,25.216625,25.177492,25.23818,25.239992,25.228325,25.177492,25.177492,25.177492,25.177492,2023-04-10 03:23:42,3.1992446249999986,1,"(1.9, 3.8]"
1,04/10/2023,03:33:42,-18.918144,-48.23048,70.055557,25.177719,25.079992,25.16934,25.135826,25.114992,25.116659,25.116659,25.114992,25.114159,2023-04-10 03:33:42,3.1203273749999987,1,"(1.9, 3.8]"
1,04/10/2023,03:43:42,-18.918036,-48.230465,71.010101,25.10955,25.011658,25.060644,25.056658,25.052492,25.047491,25.047491,25.049158,25.027493,2023-04-10 03:43:42,3.0441356250000027,1,"(1.9, 3.8]"
1,04/10/2023,03:53:42,-18.918106,-48.23056,71.919189,25.00807,25.055824,24.990898,24.989992,25.001659,25.038324,25.052492,25.052492,25.052492,2023-04-10 03:53:42,3.029271625,1,"(1.9, 3.8]"
1,04/10/2023,04:03:42,-18.918074,-48.23048,71.005051,25.020208,25.080826,25.052492,25.054159,25.052492,25.083324,25.097492,25.079992,25.074158,2023-04-10 04:03:42,3.0718668750000013,1,"(1.9, 3.8]"
1,04/10/2023,04:13:42,-18.918142,-48.230507,71.0,25.001495,25.059158,25.051586,25.052492,25.052492,25.051659,25.052492,25.052492,25.053326,2023-04-10 04:13:42,3.0532121250000017,1,"(1.9, 3.8]"
1,04/10/2023,04:23:42,-18.91814,-48.230499,71.005051,25.002502,25.099159,25.047962,25.052492,25.052492,25.052492,25.053326,25.052492,25.075825,2023-04-10 04:23:42,3.060780000000001,1,"(1.9, 3.8]"
